Bar,%,Total votes
Saint John Craft Beer Bar,25.40%,94
The Winston,19.70%,73
Preachers,13.00%,48
New Sydney Hotel,10.30%,38
Jack Greene,7.60%,28
Empress Craft Beer,6.80%,25
Waterman's Beer Market,3.50%,13
Tandy's Alehouse,2.70%,10
The Whaler,2.20%,8
Tasman Quartermasters,1.10%,4
Shambles,1.10%,4
