Bar,%,Total votes
Old Canberra Inn,21.80%,109
The Durham,15.20%,76
The Pot Belly Bar,8.00%,40
The George Harcourt Inn,6.80%,34
Brew Nation,5.20%,26
Grease Monkey,5.00%,25
Transit Bar,4.80%,24
Debacle,3.80%,19
The Meating Room,3.20%,16
Hopscotch Braddon,2.80%,14
Ducks Nuts Bar & Grill,3.00%,15
King O'Malley's,2.40%,12
Walt & Burley,2.00%,10
Duxton,1.80%,9
Bar Rochford,1.00%,5
Gryphons Caffe Bar,1.00%,5
